id,request_time,bus_income,left_db_border,right_db_border,timeout
118,"2020-02-15 23:50:59.937196",00:09:48,23:57:00,00:27:00,10
119,"2020-02-15 23:51:17.688843",00:09:45,23:57:00,00:27:00,10
120,"2020-02-15 23:51:35.326406",00:09:00,23:57:00,00:27:00,10
121,"2020-02-15 23:51:53.090245",00:08:40,23:57:00,00:27:00,10
122,"2020-02-15 23:52:10.774330",00:08:40,23:57:00,00:27:00,10
123,"2020-02-15 23:52:28.714838",00:08:51,23:57:00,00:27:00,10
124,"2020-02-15 23:52:45.866633",00:08:52,23:57:00,00:27:00,10
125,"2020-02-15 23:53:03.553071",00:08:49,23:57:00,00:27:00,10
126,"2020-02-15 23:53:21.239194",00:08:10,23:57:00,00:27:00,10
127,"2020-02-15 23:53:38.759525",00:08:06,23:57:00,00:27:00,10
128,"2020-02-15 23:53:56.530349",00:08:28,23:57:00,00:27:00,10
129,"2020-02-15 23:54:14.281834",00:08:28,23:57:00,00:27:00,10
130,"2020-02-15 23:54:31.956780",00:08:32,23:57:00,00:27:00,10
131,"2020-02-15 23:54:49.273895",00:08:32,23:57:00,00:27:00,10
132,"2020-02-15 23:55:07.354491",00:08:32,23:57:00,00:27:00,10
133,"2020-02-15 23:55:25.019768",00:08:59,23:57:00,00:27:00,10
134,"2020-02-15 23:55:42.467683",00:09:19,23:57:00,00:27:00,10
135,"2020-02-15 23:56:00.169484",00:09:19,23:57:00,00:27:00,10
136,"2020-02-15 23:56:17.802261",00:08:45,23:57:00,00:27:00,10
137,"2020-02-15 23:56:35.161960",00:08:17,23:57:00,00:27:00,10
138,"2020-02-15 23:56:52.779693",00:08:17,23:57:00,00:27:00,10
139,"2020-02-15 23:57:10.916991",00:08:27,23:57:00,00:27:00,10
140,"2020-02-15 23:57:28.580720",00:08:08,23:57:00,00:27:00,10
141,"2020-02-15 23:57:46.702993",00:08:09,23:57:00,00:27:00,10
142,"2020-02-15 23:58:04.110911",00:08:09,23:57:00,00:27:00,10
143,"2020-02-15 23:58:21.788031",00:08:11,23:57:00,00:27:00,10
144,"2020-02-15 23:58:39.397835",00:08:05,23:57:00,00:27:00,10
145,"2020-02-15 23:58:56.895786",00:08:06,23:57:00,00:27:00,10
146,"2020-02-15 23:59:14.259947",00:08:27,23:57:00,00:27:00,10
147,"2020-02-15 23:59:31.683649",00:08:27,23:57:00,00:27:00,10
148,"2020-02-15 23:59:49.435465",00:08:28,23:57:00,00:27:00,10
149,"2020-02-16 00:00:07.901709",00:08:08,23:57:00,00:27:00,240
150,"2020-02-16 00:04:16.347730",00:06:51,23:57:00,00:27:00,77
151,"2020-02-16 00:05:44.390563",00:06:31,23:57:00,00:27:00,23
152,"2020-02-16 00:06:17.301555",00:06:31,23:57:00,00:27:00,10
153,"2020-02-16 00:06:34.813487",00:06:33,23:57:00,00:27:00,10
154,"2020-02-16 00:06:52.728953",00:26:50,23:57:00,00:27:00,599
155,"2020-02-16 00:17:01.373711",00:28:05,00:27:00,00:57:00,332
156,"2020-02-16 00:22:45.896986",00:27:27,00:27:00,00:57:00,141
157,"2020-02-16 00:25:19.733009",00:28:33,00:27:00,00:57:00,97
158,"2020-02-16 00:27:08.026929",00:29:06,00:27:00,00:57:00,59
159,"2020-02-16 00:28:16.706634",00:29:03,00:27:00,00:57:00,23
160,"2020-02-16 00:28:48.825645",00:28:44,00:27:00,00:57:00,10
161,"2020-02-16 00:29:06.914455",00:54:47,00:27:00,00:57:00,770
162,"2020-02-16 00:42:06.337865",00:56:59,00:27:00,00:57:00,446
163,"2020-02-16 00:49:45.221354",00:55:00,00:27:00,00:57:00,157
164,"2020-02-16 00:52:33.980800",00:55:13,00:27:00,00:57:00,80
165,"2020-02-16 00:54:01.711663",00:54:40,00:27:00,00:57:00,19
166,"2020-02-16 00:54:29.802655",00:54:37,00:27:00,00:57:00,10
167,"2020-02-16 00:54:47.751272",00:54:37,00:27:00,00:57:00,10
